,created_at,tweet,flare_sentiment,flare_confidence,txtblob_sentiment,txtblob_subjectivity,vader_sentiment,vader_compound_score
0,2021-03-20T15:59:46.000Z, I agree. I was looking to buy an electric car for when it’s time to go back to work. I’ve been very disappointed at the few options available. Why do they think electric cars have to be a ‘futuristic’ bus or whatever that stupid design is? I decided on a hybrid as a bridge car.,NEGATIVE,0.9999867677688599,NEGATIVE,0.495,NEGATIVE,-0.6478
1,2021-03-20T15:59:30.000Z,"RT : this line read is so funny!??!?! ""WHERESMAHELECTRICCAHBRUCE?!"" WHERES HIS ELECTRIC CAR!!!! WHERE IS IT!",NEGATIVE,0.9998179078102112,POSITIVE,1.0,POSITIVE,0.7826
2,2021-03-20T15:59:09.000Z,"RT : this line read is so funny!??!?! ""WHERESMAHELECTRICCAHBRUCE?!"" WHERES HIS ELECTRIC CAR!!!! WHERE IS IT! …",NEGATIVE,0.9998396635055542,POSITIVE,1.0,POSITIVE,0.7826
3,2021-03-20T15:59:03.000Z, Germany electric car and 60% US states marginal emissions = 550g CO2/kWh 550 x 0.2 kWh x km = 110g CO2. petrol car = 120g CO2. battery = +5tons CO2. another battery after 10-12 years: +5t CO2 does this really help to reduce CO2?,NEGATIVE,0.9758431315422058,POSITIVE,0.2,POSITIVE,0.4576
4,2021-03-20T15:58:49.000Z, Germany electric car and 60% US states marginal emissions = 550g CO2/kWh 550 x 0.2 kWh x km = 110g CO2. petrol car = 120g CO2. battery = +5tons CO2. another battery after 10-12 years: +5t CO2 does this really help to reduce CO2?,NEGATIVE,0.9758431315422058,POSITIVE,0.2,POSITIVE,0.4576
5,2021-03-20T15:58:47.000Z,"RT : Part 4: The ⚡️ Electric 🚗 Cup Race winners.......Team Canada 🇨🇦 1st, Jimmy John Jack Jim🌟 2nd, The Atomic Car 🚙 3rd. #innov…",POSITIVE,0.9347918629646301,NEGATIVE,0.0,NEGATIVE,0.0
6,2021-03-20T15:58:32.000Z, Germany electric car and 60% US states marginal emissions = 550g CO2/kWh 550 x 0.2 kWh x km = 110g CO2. petrol car = 120g CO2. battery = +5tons CO2. another battery after 10-12 years: +5t CO2 does this really help to reduce CO2?,NEGATIVE,0.9758431315422058,POSITIVE,0.2,POSITIVE,0.4576
7,2021-03-20T15:58:24.000Z,"RT :  The UK in 2021: a place where a city has to win a competition to receive £50m to fund electric buses, but…",POSITIVE,0.7398768067359924,POSITIVE,0.4,POSITIVE,0.5859
8,2021-03-20T15:57:27.000Z,"RT : Reminder that the first electric cars were made in 1890. The christian concept of ""rapture"" is younger than the electri…",POSITIVE,0.9305909276008606,POSITIVE,0.1111111111111111,POSITIVE,0.1531
9,2021-03-20T15:56:53.000Z,RT : Russian national admits in federal court he tried to recruit Tesla employee to install malicious software into company’s c…,NEGATIVE,0.998350977897644,NEGATIVE,0.0,POSITIVE,0.296
10,2021-03-20T15:55:50.000Z,"   &gt;&gt; the weight of an electric engine can be about 8 times smaller. And the energy-chain in an electric car is much more efficient: electric motors can be 90% efficient."" And he discusses EVs in more detail at the end of the chapter ",POSITIVE,0.9876735806465149,POSITIVE,0.5,POSITIVE,0.7089
11,2021-03-20T15:54:36.000Z,"  Cars and electronics are bad investments. Electric car full of useless electronics , I would rather thrown away the money in the air on the street. Would give me greater pleasure than owning Tesla",NEGATIVE,0.9999468326568604,NEGATIVE,0.4791666666666667,NEGATIVE,-0.0258
12,2021-03-20T15:54:04.000Z,RT : Russian national admits in federal court he tried to recruit Tesla employee to install malicious software into company’s c…,NEGATIVE,0.998350977897644,NEGATIVE,0.0,POSITIVE,0.296
13,2021-03-20T15:51:25.000Z," The more established sites are more unbiased, I feel ",NEGATIVE,0.9948614239692688,POSITIVE,0.5,NEGATIVE,-0.101
14,2021-03-20T15:51:13.000Z, I drive very slow already and my new electric car has made me even more slow to conserve battery life. I don't speed up for anyone! Sorry about your day.,NEGATIVE,0.9999656677246094,NEGATIVE,0.5749090909090909,NEGATIVE,-0.1511
15,2021-03-20T15:49:24.000Z,"RT :  bought an electric bike. On the first ride, I watched him slam face first into a car and break the bike.…",NEGATIVE,0.6684446930885315,POSITIVE,0.3333333333333333,NEGATIVE,-0.3818
16,2021-03-20T15:48:21.000Z,RT : We are making sure San Diego accelerates toward  goal of all new car sales electric by 2035. …,POSITIVE,0.9597666263580322,POSITIVE,0.6717171717171717,POSITIVE,0.3182
17,2021-03-20T15:47:39.000Z,Would you prefer an electric or gas car? — Gas ,NEGATIVE,0.9416025280952454,NEGATIVE,0.0,NEGATIVE,0.0
18,2021-03-20T15:47:37.000Z,It’s my car(e) free anniversary. 7 years ago today our family ditched the car and bought an electric bike from  ,POSITIVE,0.9954274892807007,POSITIVE,0.8,POSITIVE,0.5106
19,2021-03-20T15:47:00.000Z,RT : If you want to see  bring an electric car club to Stroud then spend 2 minutes to fill out this survey and share it wit…,POSITIVE,0.992626965045929,NEGATIVE,0.0,POSITIVE,0.3612
20,2021-03-20T15:47:00.000Z,"RT : It takes time to change an entire industry. In 2013  said “What the world really needs is a great, affordable electr…",POSITIVE,0.945315957069397,POSITIVE,0.525,POSITIVE,0.6249
